Cod_Div,Municipio,Humedad
68211,CONTRATACIÓN,90.365
68217,COROMORO,90.1925
68229,CURITÍ,86.35625
68235,EL CARMEN DE CHUCURÍ,92.13374999999999
68245,EL GUACAMAYO,89.86875
68250,EL PEÑÓN,91.96124999999999
68255,EL PLAYÓN,90.60499999999999
68264,ENCINO,89.06375
68266,ENCISO,85.9025
68271,FLORIÁN,91.3875
68276,FLORIDABLANCA,88.97875
68296,GALÁN,86.80375000000001
68298,GÁMBITA,88.675
68307,GIRÓN,88.54625
68318,GUACA,87.41375000000001
68320,GUADALUPE,89.64500000000001
68322,GUAPOTÁ,89.285
68324,GUAVATÁ,92.115
68327,GÜEPSA,90.49625
68344,HATO,88.32875
68368,JESÚS MARÍA,91.62125
68370,JORDÁN,84.24125000000001
68377,LA BELLEZA,91.38624999999999
68385,LANDÁZURI,89.11125
68397,LA PAZ,90.04375
68406,LEBRIJA,88.56375
68418,LOS SANTOS,84.38
68425,MACARAVITA,84.85875
68432,MÁLAGA,85.8375
68444,MATANZA,88.26625
68464,MOGOTES,87.79625
68468,MOLAGAVITA,84.6625
68498,OCAMONTE,89.2325
68500,OIBA,89.22
68502,ONZAGA,82.37375
68522,PALMAR,87.85
68524,PALMAS DEL SOCORRO,88.54249999999999
68533,PÁRAMO,88.235
68547,PIEDECUESTA,89.34625
68549,PINCHOTE,87.0675
68572,PUENTE NACIONAL,90.76375
68573,PUERTO PARRA,85.03125
68575,PUERTO WILCHES,88.25625
68615,RIONEGRO,89.175
68655,SABANA DE TORRES,88.385
68669,SAN ANDRÉS,86.28
68673,SAN BENITO,89.64
70110,BUENAVISTA,87.9425
70124,CAIMITO,90.1225
70204,COLOSÓ,89.16375000000001
70215,COROZAL,89.40625
70221,COVEÑAS,85.47125
70230,CHALÁN,89.61
70233,EL ROBLE,89.0125
70235,GALERAS,88.34125
70265,GUARANDA,89.81625
70400,LA UNIÓN,89.495
70418,LOS PALMITOS,89.52625
70429,MAJAGUAL,89.87375
70473,MORROA,89.38875
70508,OVEJAS,89.8125
70523,PALMITO,88.66
70670,SAMPUÉS,89.38250000000001
70678,SAN BENITO ABAD,90.525
73001,IBAGUÉ,87.3175
73024,ALPUJARRA,72.54249999999999
73026,ALVARADO,80.58875
73030,AMBALEMA,79.9675
73043,ANZOÁTEGUI,86.56125
73055,ARMERO,81.2775
73067,ATACO,75.075
73124,CAJAMARCA,92.86749999999999
73148,CARMEN DE APICALÁ,79.21375
73152,CASABIANCA,89.75874999999999
73168,CHAPARRAL,79.80625
73200,COELLO,78.08375
73217,COYAIMA,73.48875000000001
73226,CUNDAY,81.12125
73236,DOLORES,74.1275
73268,ESPINAL,77.24
73270,FALAN,83.55375000000001
73275,FLANDES,77.72875
73283,FRESNO,86.22999999999999
73319,GUAMO,74.61749999999999
73347,HERVEO,92.55125000000001
73349,HONDA,81.7775
73352,ICONONZO,83.51
73408,LÉRIDA,82.47625000000001
73411,LÍBANO,86.78875000000001
73449,MELGAR,80.3025
73461,MURILLO,92.26625
73483,NATAGAIMA,70.75750000000001
73504,ORTEGA,75.58500000000001
73520,PALOCABILDO,85.32000000000001
73547,PIEDRAS,79.36875
73555,PLANADAS,85.29249999999999
73563,PRADO,74.32000000000001
73585,PURIFICACIÓN,74.41375000000001
73616,RIOBLANCO,83.705
73622,RONCESVALLES,90.25750000000001
73624,ROVIRA,85.04875
73671,SALDAÑA,72.985
73675,SAN ANTONIO,85.28999999999999
76001,CALI,85.78
76020,ALCALÁ,90.88125
76036,ANDALUCÍA,88.64874999999999
76041,ANSERMANUEVO,89.55875
76054,ARGELIA,92.50750000000001
76100,BOLÍVAR,90.02374999999999
76109,BUENAVENTURA,94.28625
76111,GUADALAJARA DE BUGA,88.80625
76113,BUGALAGRANDE,88.58125
76122,CAICEDONIA,91.04125
76126,CALIMA,93.16125
76130,CANDELARIA,85.72999999999999
76147,CARTAGO,89.29875
76233,DAGUA,94.76875
76243,EL ÁGUILA,92.35249999999999
76246,EL CAIRO,96.01375
76248,EL CERRITO,87.85499999999999
76250,EL DOVIO,94.0775
76275,FLORIDA,87.05125000000001
76306,GINEBRA,88.345
76318,GUACARÍ,88.71124999999999
76364,JAMUNDÍ,86.57000000000001
76377,LA CUMBRE,89.9525
76400,LA UNIÓN,91.1725
76403,LA VICTORIA,89.66749999999999
76497,OBANDO,89.05499999999999
76520,PALMIRA,86.08375
76563,PRADERA,86.5725
76606,RESTREPO,91.375
76616,RIOFRÍO,89.4275
76622,ROLDANILLO,90.91625
81001,ARAUCA,93.75625
81065,ARAUQUITA,93.65125
81220,CRAVO NORTE,88.95625
81300,FORTUL,91.705
81591,PUERTO RONDÓN,90.60875
85010,AGUAZUL,90.88374999999999
85015,CHÁMEZA,92.775
85125,HATO COROZAL,88.87625
85136,LA SALINA,89.08375
85139,MANÍ,88.5
85162,MONTERREY,91.03
85225,NUNCHÍA,91.015
85230,OROCUÉ,87.0975
85250,PAZ DE ARIPORO,89.0275
85263,PORE,89.16125
85279,RECETOR,92.61875
85300,SABANALARGA,91.8925
85315,SÁCAMA,90.1275
86001,MOCOA,92.98375
86219,COLÓN,95.95375
86320,ORITO,90.23125
